Latitude,Longitude
41.92100159,-87.69273642
41.68586577,-87.67522423
41.90064364,-87.66224979
41.73070779,-87.58799884
41.92855757,-87.76487944
41.77769007,-87.61556045
41.6987673,-87.70772629
41.87183681,-87.72626481
41.94495301,-87.64941621
41.91730779,-87.71474524
41.75702609,-87.67332491
41.89020634,-87.63403176
41.78955688,-87.69368375
41.75400032,-87.6101512
41.77997505,-87.63093738
41.7441955,-87.66085468
41.90320604,-87.67636193
41.90175692,-87.71896541
41.94312232,-87.64936594
41.76935248,-87.68083437
41.74057852,-87.64739377
41.70016614,-87.53407607
41.94310859,-87.64936609
41.96843501,-87.78602177
41.71171465,-87.64295414
41.89020634,-87.63403176
41.81321285,-87.63347962
41.91684954,-87.75258659
41.9655789,-87.70922262
41.90915204,-87.65267504
41.78006188,-87.65451122
41.83232928,-87.61698315
41.87756336,-87.68496729
41.7967902,-87.66465825
41.95896938,-87.6788962
41.76192024,-87.6978509
41.94030762,-87.80434976
41.94086915,-87.72802899
41.71207388,-87.66566518
41.90780437,-87.62852392
41.78170612,-87.73506462
41.7530069,-87.6659338
41.77061225,-87.64740749
41.92285728,-87.69728532
41.98190647,-87.71370108
41.9021661,-87.63139605
41.96267825,-87.73604401
41.89080711,-87.6321962
41.84429628,-87.63830472
41.89157962,-87.6346742
41.78344986,-87.64097151
41.92415876,-87.6994
41.81101668,-87.61381296
41.69338844,-87.63756278
41.88485813,-87.70131269
41.81414816,-87.62134198
41.824725,-87.61919956
41.66685305,-87.62225354
41.72038831,-87.67598565
41.89583657,-87.63568195
41.89257063,-87.68430502
41.76543052,-87.63007702
41.89787433,-87.7139521
41.89260531,-87.61983959
41.6558487,-87.59576404
41.90002373,-87.62305924
41.89020634,-87.63403176
41.84085918,-87.62684797
41.89033669,-87.76338944
41.90316534,-87.62921044
41.8951409,-87.62425563
41.72623079,-87.63727814
42.00297192,-87.81645788
41.86615799,-87.72608357
41.69703976,-87.63146705
41.79418629,-87.70357946
41.78187717,-87.69347043
41.9460213,-87.65556555
41.76115238,-87.58619884
41.66427838,-87.63380291
41.74921183,-87.55194127
41.78021901,-87.61667249
41.95970785,-87.75566102
41.78907866,-87.70098929
41.98192568,-87.71370089
41.75591612,-87.61019567
41.95032,-87.64700245
41.78970957,-87.6693265
41.96899971,-87.70849424
41.73536463,-87.64606799
41.80045355,-87.68666208
41.77321966,-87.59777895
41.68253391,-87.67422583
41.74873943,-87.60147387
41.97012509,-87.69507228
41.96363268,-87.70710167
41.73514935,-87.66304842
41.88710478,-87.66433792
41.95109056,-87.6566147
41.73998777,-87.55876205
41.88710144,-87.63249012
41.85234649,-87.66534625
41.74481864,-87.60505818
41.90748225,-87.69448066
41.7316876,-87.60470094
41.68292589,-87.64100688
41.90766651,-87.73426471
41.85617947,-87.70659833
41.81794627,-87.61167368
41.75189694,-87.64892609
41.77576055,-87.61551597
41.92924864,-87.71589773
41.84419584,-87.72871719
41.88225186,-87.76444178
41.94813137,-87.6495109
41.75078272,-87.62581362
41.89007854,-87.64834183
41.89256952,-87.62203265
41.89060931,-87.64761264
41.89998003,-87.71768579
41.78243228,-87.71414406
41.7929829,-87.6171464
41.85967742,-87.62565339
41.83668264,-87.73406848
42.01818339,-87.67072696
41.89090176,-87.62614989
41.97353938,-87.74232294
41.88013139,-87.64114062
41.77998456,-87.630248
41.96741246,-87.70477382
41.77784884,-87.59301127
41.68911257,-87.67239764
41.90171453,-87.71058695
41.99665958,-87.69472995
41.96466388,-87.72174788
41.69171899,-87.65858229
41.9584607,-87.6691658
41.97795954,-87.79752503
41.78123223,-87.72893872
41.87612122,-87.64100397
41.76301271,-87.58236525
41.98913511,-87.69327129
41.91721389,-87.72232239
42.00119012,-87.70065574
41.89082449,-87.63010257
41.76256433,-87.6686058
41.74053292,-87.65589869
41.89082499,-87.63018336
41.79957355,-87.65913542
41.71348293,-87.5677277
41.9186526,-87.64852869
41.8095187,-87.6073336
41.80634513,-87.65518382
41.80149134,-87.6226374
41.81019695,-87.68833945
41.90963823,-87.67631067
41.89501788,-87.67551659
41.74779251,-87.65002508
41.87235911,-87.72539703
41.69527157,-87.63403105
41.99768242,-87.69262646
41.87858449,-87.7462391
41.73631853,-87.6367662
41.78295171,-87.60436283
41.89082499,-87.63018336
41.87356982,-87.75743969
41.74109377,-87.61626861
41.85194955,-87.61899592
41.97576318,-87.70680264
41.86289733,-87.71112528
42.01946189,-87.68218455
41.89453984,-87.62424392
41.79531536,-87.65976314
41.90528961,-87.73209016
41.85991353,-87.72377123
41.92388588,-87.80548125
41.96608155,-87.6579085
41.80608712,-87.65517553
41.75238312,-87.64945965
41.86431172,-87.69334668
41.73786544,-87.63798058
41.86169934,-87.72260523
41.77668654,-87.73554022
41.7789646,-87.70374308
41.74053292,-87.65589869
41.9459726,-87.65429054
