ID,Case Number,Date,Block,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year,Updated On,Latitude,Longitude
23399,JA325215,6/27/2017 19:11,089XX S MORGAN ST,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,2222,22,21,73,2017,7/4/2017 15:50,41.73135792,-87.64836381
23401,JA323969,6/27/2017 0:44,052XX W DIVISION ST,FIRST DEGREE MURDER,PARKING LOT,TRUE,FALSE,2532,25,37,25,2017,7/4/2017 15:50,41.90223059,-87.75740997
23400,JA320465,6/27/2017 12:50,038XX W CHICAGO AVE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,1112,11,27,23,2017,9/15/2017 15:50,41.89540554,-87.72182509
23402,JA326393,6/28/2017 17:01,032XX W HADDON AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1121,11,26,23,2017,7/5/2017 15:54,41.90186452,-87.70738601
23403,JA326667,6/28/2017 20:04,033XX W 79TH ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,835,8,18,70,2017,7/5/2017 15:54,41.74980727,-87.70641375
23404,JA326821,6/28/2017 22:38,054XX S WABASH AVE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,225,2,3,40,2017,7/5/2017 15:54,41.79557006,-87.62411105
23405,JA326821,6/28/2017 22:38,054XX S WABASH AVE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,225,2,3,40,2017,7/5/2017 15:54,41.79557006,-87.62411105
23413,HZ540208,6/29/2017 23:17,010XX N HOMAN AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1121,11,27,23,2017,7/6/2017 15:53,41.89930488,-87.71156172
23406,JA328468,6/30/2017 8:12,041XX S STATE ST,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,213,2,3,38,2017,7/7/2017 15:58,41.81988174,-87.62635954
23407,JA328468,6/30/2017 10:51,041XX S STATE ST,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,213,2,3,38,2017,7/7/2017 15:58,41.81988174,-87.62635954
23410,JA329470,6/30/2017 21:37,057XX S WELLS ST,FIRST DEGREE MURDER,PORCH,TRUE,FALSE,711,7,20,68,2017,7/7/2017 15:58,41.78976321,-87.63171793
23411,JA329470,6/30/2017 21:33,057XX S WELLS ST,FIRST DEGREE MURDER,PORCH,TRUE,FALSE,711,7,20,68,2017,7/7/2017 15:58,41.78976321,-87.63171793
23417,JA329470,7/1/2017 12:27,057XX S WELLS ST,FIRST DEGREE MURDER,STREET,TRUE,FALSE,711,7,20,68,2017,7/8/2017 15:49,41.78976321,-87.63171793
23414,JA331015,7/2/2017 2:13,042XX S STATE ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,213,2,3,38,2017,7/9/2017 15:51,41.81757345,-87.62630055
23415,JA331015,7/2/2017 16:00,042XX S STATE ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,213,2,3,38,2017,7/9/2017 15:51,41.81757345,-87.62630055
23416,JA332111,7/2/2017 23:48,018XX W HASTINGS ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1233,12,2,28,2017,7/9/2017 15:51,41.8640909,-87.67228735
23418,JA334240,7/4/2017 18:39,002XX E 132ND ST,FIRST DEGREE MURDER,AUTO,TRUE,FALSE,533,5,9,54,2017,8/31/2017 15:52,41.65561938,-87.61633927
23419,JA334412,7/5/2017 0:43,016XX N MAJOR AVE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,2531,25,29,25,2017,7/12/2017 15:55,41.90993385,-87.76793967
23420,JA334712,7/5/2017 0:50,040XX W LAKE ST,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,1114,11,28,26,2017,7/12/2017 15:55,41.88549643,-87.72654682
23421,JA334881,7/5/2017 4:12,062XX S LAFLIN ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,713,7,16,67,2017,7/12/2017 15:55,41.78074427,-87.66182219
23422,JA334807,7/5/2017 4:20,110XX S EBERHART AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,513,5,9,49,2017,7/12/2017 15:55,41.69356827,-87.61110682
23423,JA334807,7/5/2017 4:25,110XX S EBERHART AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,513,5,9,49,2017,7/12/2017 15:55,41.69356827,-87.61110682
23424,JA334811,7/5/2017 3:05,079XX S PAULINA ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,611,6,21,71,2017,7/12/2017 15:55,41.74962816,-87.66584786
23425,JA334700,7/5/2017 0:21,003XX E 47TH ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,215,2,3,38,2017,7/12/2017 15:55,41.8093468,-87.61887154
23426,JA335500,7/5/2017 13:51,008XX W 103RD ST,FIRST DEGREE MURDER,APARTMENT,TRUE,TRUE,2232,22,34,73,2017,8/3/2017 15:49,41.70690219,-87.64450714
